Name,PPG,AST,BLK,TO,STL,REB,OREB,DREB,GP,GS,MPG,FGA,FG,FG%,3PA,3P,3P%,FTA,FT,FT%,2PA,2P,2P%,EFG%,Salary
Dwight Howard,17.4,1.5,2,2.9,0.9,12.7,3.5,9.1,1035,1034,34.5,10.8,6.3,0.583,0.1,0,0.095,8.5,4.8,0.566,10.7,6.3,0.585,0.583,18919725
Enes Kanter,11.7,0.7,0.5,1.6,0.4,7.3,2.8,4.5,516,185,21.9,8.8,4.8,0.539,0.2,0.1,0.294,2.7,2.1,0.779,8.6,4.7,0.545,0.543,18622514
Wesley Matthews,13.8,2.2,0.2,1.3,1.1,3.2,0.5,2.6,655,594,32.8,11.1,4.7,0.427,5.6,2.1,0.383,2.7,2.2,0.827,5.5,2.6,0.472,0.524,18622514
Joakim Noah,8.9,2.9,1.3,1.7,0.8,9.3,3.3,6,625,511,28.6,7,3.4,0.49,0,0,0,3,2.1,0.699,6.9,3.4,0.492,0.49,18530000
Allen Crabbe,9.5,1.2,0.3,0.7,0.6,2.8,0.3,2.5,301,92,24.4,7.8,3.4,0.439,4,1.6,0.397,1.3,1.1,0.849,3.7,1.8,0.485,0.542,18500000
Goran Dragic,13.7,4.8,0.2,2.3,1,3.1,0.7,2.3,722,486,28,10.8,5.1,0.469,3.1,1.1,0.364,3.2,2.5,0.762,7.8,4,0.51,0.52,18109175
Kent Bazemore,8.2,1.8,0.4,1.4,1,2.9,0.3,2.6,416,222,20,7,3,0.422,2.7,1,0.36,1.9,1.3,0.718,4.3,2,0.462,0.493,18089887
Luol Deng,15,2.3,0.5,1.6,1,6.1,1.6,4.5,880,826,34.7,12.7,5.8,0.455,2.2,0.7,0.332,3.6,2.7,0.77,10.5,5,0.481,0.484,18000000
Evan Turner,10.2,3.5,0.3,1.8,0.8,4.8,0.6,4.2,613,293,27.9,9.5,4.1,0.433,1.4,0.4,0.301,2,1.6,0.788,8.1,3.7,0.456,0.455,17868852
Draymond Green,9.3,4.6,1.1,2,1.4,6.9,1.2,5.7,467,319,27.7,7.6,3.3,0.438,2.9,0.9,0.327,2.3,1.7,0.707,4.8,2.4,0.505,0.5,17469565
Tristan Thompson,9,0.8,0.7,1.1,0.5,8.4,3.3,5.1,519,338,27.8,6.9,3.6,0.518,0,0,0,3.1,1.9,0.608,6.9,3.6,0.519,0.518,17469565
Tim Hardaway,12.1,1.7,0.2,1,0.6,2.4,0.3,2.1,338,116,25,10.2,4.3,0.425,5,1.7,0.344,2.2,1.7,0.806,5.2,2.6,0.503,0.509,17325000
Reggie Jackson,12.4,4.4,0.1,2,0.7,3,0.5,2.5,448,250,24.8,10.9,4.7,0.43,3,1,0.32,2.4,2.1,0.857,7.9,3.7,0.472,0.474,17043478
Evan Fournier,13.1,2.3,0.1,1.6,0.8,2.7,0.4,2.2,376,234,27.2,10.5,4.7,0.448,4.3,1.6,0.379,2.7,2.1,0.804,6.2,3.1,0.495,0.525,17000000
Bismack Biyombo,5,0.5,1.4,0.9,0.3,6.5,2,4.5,529,210,20.9,3.7,1.9,0.513,0,0,0,2.2,1.2,0.566,3.7,1.9,0.514,0.513,17000000
Derrick Favors,11.6,1.1,1.3,1.5,0.8,7.2,2.5,4.7,556,366,26.1,9,4.7,0.517,0.2,0,0.202,3.3,2.2,0.663,8.9,4.6,0.523,0.519,16900000
Jonas Valanciunas,11.7,0.7,1,1.5,0.4,8.5,2.6,5.9,440,434,25.5,8.2,4.6,0.558,0.2,0.1,0.397,3.1,2.4,0.785,8,4.5,0.562,0.562,16539326
Gary Harris,12.3,2.1,0.2,1.3,1.3,2.5,0.6,1.9,255,203,28.4,9.9,4.6,0.469,4.1,1.5,0.371,1.9,1.5,0.803,5.8,3.1,0.539,0.546,16517857
Andre Iguodala,12.6,4.4,0.5,2,1.5,5.2,1,4.2,1040,766,34.1,9.7,4.5,0.465,2.7,0.9,0.333,3.7,2.6,0.713,7,3.6,0.516,0.511,16000000
