Name,PPG,AST,BLK,TO,STL,REB,OREB,DREB,GP,GS,MPG,FGA,FG,FG%,3PA,3P,3P%,FTA,FT,FT%,2PA,2P,2P%,EFG%,Salary
Julius Randle,13.5,2.6,0.5,2.3,0.6,8.9,2.1,6.8,238,182,27.8,10.6,5.2,0.493,0.6,0.2,0.257,4.1,2.9,0.717,10,5.1,0.507,0.5,8641000
Markieff Morris,11.9,1.7,0.6,1.7,0.9,5.6,1.4,4.3,521,315,26.4,10.2,4.6,0.451,2.1,0.7,0.338,2.5,1.9,0.778,8.1,3.9,0.481,0.486,8600000
Jerryd Bayless,8.5,2.8,0.1,1.4,0.6,2.1,0.3,1.8,552,93,21.4,7.2,3,0.414,2.3,0.9,0.366,2.1,1.7,0.824,4.8,2.1,0.438,0.474,8575916
Cristiano Felicio,4.8,0.8,0.3,0.7,0.3,4.3,1.6,2.7,152,20,15.4,3.3,1.9,0.581,0,0,0,1.4,0.9,0.665,3.3,1.9,0.588,0.581,8470980
Markelle Fultz,7.1,3.8,0.3,1.2,0.9,3.1,0.8,2.3,14,0,18.1,7.9,3.2,0.405,0.1,0,0,1.5,0.7,0.476,7.9,3.2,0.409,0.405,8339880
C.J. Miles,9.8,1.1,0.3,0.9,0.7,2.4,0.4,2,785,302,20.7,8.5,3.5,0.414,4.1,1.5,0.361,1.6,1.3,0.809,4.3,2,0.465,0.502,8333333
Joe Harris,7.6,1.1,0.2,0.9,0.4,2.4,0.4,2,186,26,19.5,6,2.7,0.459,3.6,1.4,0.4,0.9,0.7,0.774,2.4,1.3,0.548,0.579,8330000
Shaun Livingston,6.5,3.1,0.4,1.3,0.7,2.4,0.6,1.9,769,191,21.1,5.5,2.7,0.485,0.1,0,0.183,1.4,1.1,0.794,5.4,2.6,0.49,0.486,8307692
Lou Williams,13.7,3.1,0.2,1.6,0.9,2.1,0.4,1.8,861,109,24.4,10.5,4.4,0.42,3.8,1.3,0.348,4.3,3.6,0.834,6.7,3.1,0.461,0.483,8000000
Garrett Temple,5.5,1.7,0.3,0.9,0.8,2,0.4,1.6,439,157,19.1,4.9,2,0.405,2.2,0.8,0.357,1.1,0.8,0.725,2.7,1.2,0.445,0.486,8000000
P.J. Tucker,7.4,1.5,0.3,1,1.2,5.7,1.6,4.1,500,324,27.8,6.4,2.7,0.426,2.5,0.9,0.356,1.5,1.1,0.748,3.9,1.8,0.471,0.495,7969537
Cory Joseph,7,2.6,0.2,1,0.7,2.4,0.5,1.9,446,86,20.8,6.1,2.7,0.45,1.2,0.4,0.329,1.5,1.1,0.765,4.8,2.3,0.481,0.484,7945000
JaMychal Green,8.1,1,0.4,1.1,0.6,6.1,2,4.1,234,145,22.4,6.5,3.1,0.477,1.4,0.5,0.35,1.8,1.4,0.765,5.2,2.6,0.511,0.514,7866667
Karl-Anthony Towns,21.6,2.4,1.4,2.3,0.7,11.7,3.1,8.6,246,246,34.9,15.5,8.4,0.543,2.6,1,0.387,4.5,3.8,0.836,12.8,7.4,0.575,0.576,7839435
Kyle Korver,9.9,1.8,0.3,1.1,0.7,3,0.3,2.8,1104,422,26.2,7.7,3.4,0.444,4.6,2,0.431,1.2,1.1,0.881,3.1,1.4,0.464,0.574,7560000
Jeremy Lamb,9.1,1.4,0.3,0.8,0.6,3.2,0.5,2.8,356,31,18.7,7.8,3.4,0.445,2.7,0.9,0.336,1.6,1.3,0.837,5,2.5,0.503,0.504,7488372
Darrell Arthur,6.5,0.8,0.6,0.8,0.6,3.5,1.1,2.4,503,106,17.8,6.2,2.7,0.444,0.9,0.3,0.352,0.9,0.7,0.765,5.3,2.4,0.46,0.47,7464912
Lonzo Ball,10.2,7.2,0.8,2.6,1.7,6.9,1.3,5.6,52,50,34.2,10.8,3.9,0.36,5.7,1.7,0.305,1.4,0.6,0.451,5.2,2.2,0.42,0.44,7461960
Doug McDermott,7.9,0.8,0.1,0.6,0.2,2.3,0.4,1.9,264,13,20.7,6.7,3,0.452,2.7,1.1,0.403,1,0.8,0.822,3.9,1.9,0.485,0.535,7333333
Jae Crowder,9,1.4,0.3,0.8,1,3.8,0.7,3,463,233,23.7,7.4,3.2,0.429,3.6,1.2,0.341,1.9,1.5,0.791,3.8,1.9,0.511,0.512,7305825
D.J. Augustin,9.6,3.8,0,1.5,0.6,1.8,0.3,1.5,726,226,23.6,7.7,3.1,0.407,3.3,1.3,0.376,2.5,2.1,0.863,4.3,1.9,0.43,0.488,7250000
Lance Thomas,5.3,0.7,0.1,0.7,0.4,2.6,0.8,1.8,346,107,18.6,4.6,1.9,0.42,1,0.4,0.408,1.3,1,0.801,3.6,1.5,0.423,0.464,7119650
D'Angelo Russell,14.6,4.3,0.2,2.7,1.1,3.6,0.6,3,191,143,27.8,13.1,5.3,0.409,5.4,1.9,0.344,2.7,2,0.754,7.7,3.5,0.455,0.48,7019698
Langston Galloway,8.1,2,0.2,0.7,0.8,2.8,0.5,2.3,259,52,22.6,7.7,3,0.387,3.6,1.3,0.361,1.1,0.9,0.785,4.1,1.7,0.41,0.471,7000000
Davis Bertans,5.3,0.8,0.4,0.5,0.3,1.7,0.3,1.5,144,16,13.2,4.2,1.8,0.44,3,1.1,0.384,0.6,0.5,0.819,1.2,0.7,0.577,0.576,7000000
Ersan Ilyasova,11,1.2,0.4,1,0.7,5.9,1.8,4.1,678,408,24.5,9.3,4.1,0.443,3.1,1.1,0.366,2.1,1.6,0.77,6.2,3,0.481,0.503,7000000
Boban Marjanovic,5.6,0.4,0.4,0.6,0.2,3.7,1.3,2.4,128,5,8.9,3.5,2,0.564,0,0,0,2.1,1.6,0.784,3.5,2,0.564,0.564,7000000
Al-Farouq Aminu,7.5,1.2,0.6,1.3,1,5.9,1.4,4.5,589,348,24.8,6.6,2.8,0.421,2.2,0.7,0.336,1.7,1.2,0.726,4.4,2,0.464,0.477,6957105
Jayson Tatum,13.9,1.6,0.7,1.4,1,5,0.6,4.4,80,80,30.5,10.4,5,0.475,3,1.3,0.434,3.2,2.7,0.826,7.4,3.7,0.492,0.538,6700800
Nemanja Bjelica,6.1,1.3,0.3,0.8,0.6,3.8,0.8,3,192,22,18.9,5,2.3,0.449,2.5,0.9,0.371,0.8,0.6,0.752,2.5,1.3,0.528,0.543,6500000
Mario Hezonja,6.9,1.3,0.3,1.1,0.7,2.8,0.4,2.3,219,41,18.4,6.2,2.6,0.418,2.8,0.9,0.332,1,0.8,0.837,3.5,1.7,0.487,0.492,6500000
Ben Simmons,15.8,8.2,0.9,3.4,1.7,8.1,1.8,6.3,81,81,33.7,12.3,6.7,0.545,0.1,0,0,4.2,2.4,0.56,12.2,6.7,0.551,0.545,6434520
Milos Teodosic,9.5,4.6,0.1,2.2,0.5,2.8,0.4,2.4,45,36,25.2,8,3.4,0.419,5.2,2,0.379,1,0.9,0.848,2.8,1.4,0.492,0.542,6300000
Dewayne Dedmon,5.5,0.6,0.8,0.9,0.4,5.7,1.6,4.1,286,124,16.8,4,2.2,0.552,0.5,0.2,0.352,1.2,0.9,0.695,3.6,2.1,0.58,0.573,6300000
Wayne Ellington,8,1.1,0.1,0.7,0.5,2.2,0.3,1.9,592,127,21,7.2,2.9,0.411,3.7,1.4,0.381,0.8,0.7,0.851,3.5,1.5,0.443,0.509,6270000
Marco Belinelli,9.9,1.7,0.1,1,0.6,2,0.2,1.8,724,218,23.3,8.2,3.5,0.427,3.7,1.4,0.377,1.8,1.5,0.841,4.6,2.1,0.467,0.511,6153846
Wesley Johnson,7.2,1.1,0.7,0.9,0.8,3.2,0.6,2.7,571,321,22.7,6.8,2.8,0.406,3.1,1,0.337,0.8,0.6,0.743,3.8,1.7,0.462,0.482,6134520
Josh Jackson,13.1,1.5,0.5,1.9,1,4.6,1.2,3.3,77,35,25.4,12.1,5.1,0.417,2.8,0.7,0.263,3.6,2.3,0.634,9.3,4.3,0.464,0.448,6041520
Montrezl Harrell,8.7,0.9,0.6,0.7,0.4,3.4,1.2,2.2,173,18,15.8,5.7,3.6,0.642,0.1,0,0.133,2.2,1.4,0.614,5.6,3.6,0.65,0.643,6000000
Jonathon Simmons,8.8,1.8,0.2,1.4,0.6,2.5,0.5,2,202,60,21,7,3.2,0.459,1.7,0.6,0.331,2.3,1.7,0.759,5.3,2.7,0.5,0.5,6000000
Ish Smith,7.2,3.8,0.2,1.3,0.7,2.3,0.3,2,486,142,19.1,7.2,3.1,0.428,1,0.3,0.301,1.1,0.7,0.669,6.2,2.8,0.449,0.45,6000000
Brandon Ingram,12.2,2.9,0.6,1.9,0.7,4.6,0.8,3.7,138,99,30.8,10.5,4.6,0.438,2.1,0.7,0.329,3.6,2.4,0.655,8.4,3.9,0.466,0.471,5757120
Anthony Tolliver,6.5,0.9,0.3,0.6,0.4,3.5,0.8,2.6,599,92,20.3,5.1,2.2,0.421,3.2,1.2,0.376,1.3,1,0.772,1.9,0.9,0.5,0.54,5750000
Kristaps Porzingis,17.8,1.3,2,1.8,0.7,7.1,1.6,5.4,186,185,31,14.8,6.5,0.437,4.2,1.5,0.361,4.1,3.3,0.804,10.6,5,0.467,0.488,5697054
Deron Williams,16.3,8.1,0.2,2.8,1,3.1,0.4,2.7,845,771,34.2,13,5.8,0.445,3.9,1.4,0.357,4.1,3.4,0.822,9.1,4.4,0.482,0.498,5474787
Ben McLemore,9.1,1.2,0.2,1.3,0.7,2.6,0.5,2.1,349,233,24.5,7.9,3.3,0.417,3.4,1.2,0.351,1.6,1.3,0.785,4.5,2.1,0.468,0.494,5460000
Alex Abrines,5.3,0.5,0.1,0.4,0.5,1.4,0.3,1.1,143,14,15.3,4.4,1.7,0.394,3.3,1.2,0.38,0.7,0.6,0.874,1.1,0.5,0.433,0.535,5455236
Patrick Patterson,7.3,1.1,0.5,0.7,0.6,4.3,1.3,3,559,76,22.7,6.4,2.9,0.455,2.3,0.9,0.37,0.8,0.6,0.757,4.1,2,0.502,0.521,5451600
Jason Smith,6.2,0.7,0.7,0.8,0.3,3.4,1.1,2.3,596,103,16.5,5.5,2.6,0.47,0.4,0.1,0.332,1.1,0.9,0.781,5.2,2.5,0.48,0.481,5450000
De'Aaron Fox,11.6,4.4,0.3,2.4,1,2.8,0.5,2.3,73,60,27.8,10.9,4.5,0.412,2.1,0.6,0.307,2.7,1.9,0.723,8.8,3.8,0.436,0.441,5407920
Marcus Morris,11.2,1.5,0.2,1.2,0.7,4.4,1,3.4,470,239,26.3,9.7,4.1,0.428,3.6,1.3,0.357,2.1,1.6,0.731,6.1,2.8,0.471,0.495,5375000
Dwight Howard,17.4,1.5,2,2.9,0.9,12.7,3.5,9.1,1035,1034,34.5,10.8,6.3,0.583,0.1,0,0.095,8.5,4.8,0.566,10.7,6.3,0.585,0.583,5337000
DeMarcus Cousins,21.5,3.2,1.2,3.6,1.4,11,2.8,8.2,535,513,32.3,16.7,7.7,0.46,1.7,0.6,0.338,7.6,5.6,0.737,14.9,7.1,0.474,0.478,5337000
Josh Smith,14.5,3.1,1.9,2.5,1.2,7.4,1.9,5.5,894,772,32.4,12.6,5.7,0.452,1.8,0.5,0.285,4.2,2.6,0.632,10.8,5.2,0.48,0.472,5331729
Alexis Ajinca,5.3,0.5,0.6,0.8,0.3,3.9,1.2,2.7,293,76,13.3,4.4,2.2,0.503,0.1,0,0.286,1.1,0.9,0.797,4.2,2.2,0.51,0.507,5285394
Thabo Sefolosha,6.1,1.5,0.4,0.9,1.1,3.9,0.8,3.1,778,473,23.2,5.2,2.3,0.449,1.7,0.6,0.347,1.1,0.8,0.737,3.5,1.7,0.5,0.507,5250000
Aron Baynes,5.4,0.7,0.5,0.8,0.2,4.4,1.5,2.9,376,91,15,4.3,2.2,0.502,0.1,0,0.143,1.3,1,0.802,4.3,2.2,0.508,0.503,5193600
Jaylen Brown,10.4,1.2,0.3,1.3,0.7,3.8,0.8,3.1,148,90,23.6,8.3,3.8,0.461,3,1.1,0.379,2.4,1.6,0.658,5.3,2.7,0.507,0.529,5169960
Patrick Beverley,9.4,3.4,0.4,1.4,1.3,4.1,1.2,2.9,302,251,28.6,8.1,3.4,0.413,4.4,1.7,0.376,1.3,1,0.767,3.7,1.7,0.457,0.515,5027028
Tony Parker,15.8,5.7,0.1,2.3,0.9,2.8,0.4,2.4,1198,1151,31.1,12.8,6.3,0.492,1.3,0.4,0.326,3.7,2.8,0.752,11.5,5.9,0.511,0.509,5000000
Mike Muscala,5.4,0.9,0.5,0.6,0.4,3.1,1,2.1,243,18,14.7,4.2,2.1,0.491,1.4,0.5,0.378,0.8,0.7,0.848,2.8,1.5,0.547,0.554,5000000
Dirk Nowitzki,21.2,2.5,0.9,1.7,0.8,7.7,1,6.7,1471,1440,34.4,15.9,7.5,0.472,3.4,1.3,0.383,5.6,4.9,0.879,12.5,6.2,0.497,0.513,5000000
Kyle Singler,6.5,0.8,0.3,0.8,0.6,2.9,0.9,2,356,172,21.9,5.7,2.4,0.418,2.3,0.8,0.362,1.2,1,0.786,3.3,1.5,0.458,0.493,4996000
Jonathan Isaac,5.4,0.7,1.1,1,1.2,3.7,0.6,3.1,27,10,19.9,5.4,2,0.379,1.7,0.6,0.348,0.9,0.7,0.76,3.7,1.4,0.394,0.434,4969080
Willie Cauley-Stein,9.4,1.4,0.8,1,0.8,5.6,1.6,4,214,118,22.8,7.4,3.9,0.524,0.1,0,0.188,2.4,1.6,0.641,7.4,3.9,0.527,0.524,4696875
Dragan Bender,5.4,1.2,0.6,1.2,0.3,3.7,0.5,3.2,125,37,21.1,5.2,2,0.378,3.4,1.2,0.345,0.5,0.3,0.694,1.8,0.8,0.441,0.491,4661280
Ron Baker,3.5,1.9,0.2,0.9,0.7,1.6,0.2,1.4,81,14,15.3,3.4,1.3,0.37,1.5,0.4,0.286,0.9,0.6,0.696,1.9,0.8,0.433,0.431,4544400
Lauri Markkanen,15.2,1.2,0.6,1.2,0.6,7.5,1.2,6.3,68,68,29.7,12.7,5.5,0.434,5.9,2.1,0.362,2.4,2.1,0.843,6.8,3.4,0.497,0.518,4536120
Lance Stephenson,8.8,3,0.1,1.7,0.7,4.3,0.7,3.7,440,196,24.4,7.9,3.5,0.446,2.1,0.6,0.303,1.6,1.1,0.685,5.9,2.9,0.496,0.485,4449000
Kyle O'Quinn,5.8,1.3,1,1,0.4,4.9,1.4,3.4,398,60,15.2,4.7,2.4,0.518,0.3,0.1,0.223,1.1,0.9,0.745,4.5,2.4,0.535,0.524,4449000
Ed Davis,6.6,0.8,0.9,0.8,0.5,6.5,2.3,4.2,559,94,20.6,4.9,2.7,0.564,0,0,0,1.9,1.1,0.579,4.9,2.7,0.565,0.564,4400000
Justin Holiday,7.4,1.4,0.4,0.9,0.8,2.5,0.3,2.2,275,85,19.9,6.7,2.6,0.392,3.5,1.2,0.35,1.2,1,0.811,3.2,1.4,0.438,0.483,4384616
Alex Len,7.2,0.8,1,1.3,0.4,6.5,2.1,4.4,335,140,19.9,5.7,2.7,0.485,0.1,0,0.24,2.4,1.7,0.707,5.6,2.7,0.489,0.487,4350000
Luc Mbah a Moute,6.4,0.9,0.4,0.9,0.9,4.1,1.4,2.7,682,453,23.4,5.4,2.5,0.455,0.9,0.3,0.336,1.8,1.2,0.661,4.5,2.2,0.478,0.482,4320500
Mike Scott,7.4,0.9,0.1,0.8,0.3,3,0.7,2.3,357,8,16,6.1,2.9,0.476,2.1,0.7,0.351,1.2,0.9,0.762,4.1,2.2,0.54,0.535,4320500
Emmanuel Mudiay,10.8,4.3,0.3,2.4,0.8,3,0.5,2.5,187,121,25.2,10.6,4,0.374,3,0.9,0.317,2.7,2,0.731,7.6,3,0.396,0.419,4294480
Kris Dunn,7.6,3.8,0.5,1.8,1.4,3,0.4,2.6,130,50,22,7.5,3.1,0.413,1.6,0.5,0.309,1.3,0.9,0.69,5.9,2.6,0.44,0.445,4221000
Frank Ntilikina,5.9,3.2,0.2,1.7,0.8,2.3,0.5,1.8,78,9,21.9,6.4,2.3,0.364,2,0.6,0.318,0.9,0.6,0.721,4.4,1.7,0.385,0.414,4155720
Glenn Robinson,4.4,0.6,0.2,0.4,0.4,2.3,0.6,1.7,172,33,14.7,3.7,1.7,0.445,1.3,0.5,0.381,0.9,0.6,0.707,2.5,1.2,0.477,0.509,4150000
Al Jefferson,15.7,1.5,1.2,1.3,0.7,8.4,2.2,6.2,915,651,28.7,13.5,6.7,0.499,0.1,0,0.121,3.1,2.2,0.711,13.4,6.7,0.501,0.499,4000000
Stanley Johnson,7,1.5,0.2,1.2,0.9,3.4,0.6,2.8,219,57,22.6,7,2.6,0.37,2.7,0.8,0.295,1.4,1,0.76,4.3,1.8,0.417,0.427,3940402
Buddy Hield,12,1.7,0.2,1.4,0.8,3.6,0.6,3,162,67,24.1,10.5,4.6,0.437,4.9,2,0.412,1,0.8,0.86,5.6,2.6,0.459,0.532,3833760
Dennis Smith,15.2,5.2,0.3,2.8,1,3.8,0.7,3,69,69,29.7,14.8,5.9,0.395,4.9,1.5,0.313,2.8,1.9,0.694,9.9,4.3,0.436,0.447,3819960
J.J. Barea,8.9,3.9,0,1.5,0.4,2.1,0.3,1.8,764,101,19.7,8,3.4,0.424,2.8,1,0.354,1.4,1.1,0.798,5.2,2.4,0.462,0.486,3710850
Nene Hilario,11.7,1.8,0.8,1.8,1.1,6.2,1.8,4.4,923,624,26.8,8.1,4.5,0.548,0.1,0,0.14,4.1,2.7,0.66,8.1,4.5,0.551,0.549,3651480
Zach Collins,4.4,0.8,0.5,0.9,0.3,3.3,0.7,2.7,66,1,15.8,4.4,1.7,0.398,1.7,0.5,0.31,0.6,0.4,0.643,2.7,1.2,0.455,0.458,3628920
Frank Kaminsky,10,1.7,0.4,0.9,0.5,4.1,0.7,3.3,235,23,23.4,8.7,3.6,0.412,3.5,1.2,0.347,2.1,1.6,0.765,5.2,2.4,0.457,0.483,3627842
Mirza Teletovic,8.1,0.8,0.3,0.8,0.3,3.2,0.6,2.6,324,14,17.8,7.1,2.9,0.406,4.5,1.7,0.371,1,0.7,0.755,2.5,1.2,0.468,0.524,3500000
Michael Beasley,12.7,1.3,0.5,1.7,0.6,4.8,1.1,3.7,583,236,23.4,11.1,5.2,0.464,1.4,0.5,0.352,2.4,1.8,0.76,9.7,4.7,0.48,0.486,3500000
Jamal Murray,13.3,2.7,0.3,1.7,0.8,3.1,0.8,2.4,163,90,26.6,11,4.7,0.432,4.8,1.7,0.359,2.3,2.1,0.898,6.2,3,0.488,0.51,3499800
Jodie Meeks,9.3,1.1,0.1,0.8,0.8,2.1,0.3,1.8,531,204,22.6,7.4,3.1,0.418,3.9,1.4,0.372,1.9,1.7,0.879,3.5,1.7,0.469,0.516,3454500
Justise Winslow,7.5,2,0.4,1.3,0.9,5.3,1,4.3,164,48,27.7,7.2,2.9,0.41,1.7,0.5,0.314,1.6,1.1,0.653,5.5,2.4,0.44,0.448,3448926
Malik Monk,6.7,1.4,0.1,0.8,0.3,1,0.1,0.9,63,0,13.6,6.7,2.4,0.36,3.9,1.3,0.342,0.6,0.5,0.842,2.9,1.1,0.385,0.458,3447480
Myles Turner,12.7,1.1,1.8,1.3,0.7,6.5,1.5,5,206,173,27.9,9.9,4.9,0.498,1.4,0.5,0.346,3.1,2.4,0.783,8.5,4.4,0.522,0.522,3410284
Brook Lopez,17.9,1.6,1.7,2,0.6,6.8,2.5,4.3,636,599,31.2,13.8,6.9,0.502,1.2,0.4,0.335,4.6,3.7,0.789,12.7,6.5,0.517,0.516,3382000
Trey Lyles,7.4,1,0.3,0.8,0.4,3.9,0.7,3.2,224,39,17.5,6.4,2.8,0.435,2.5,0.9,0.358,1.4,1,0.703,3.9,1.9,0.483,0.504,3364249
Ekpe Udoh,3.7,0.7,1.2,0.6,0.5,3,1.3,1.7,333,55,16.1,3.2,1.4,0.437,0,0,0,1.2,0.9,0.724,3.2,1.4,0.439,0.437,3360000
Devin Booker,19.8,3.5,0.3,2.9,0.8,3.3,0.5,2.8,208,183,32.2,16.1,6.9,0.426,5.2,1.9,0.365,4.9,4.2,0.849,10.9,5,0.455,0.485,3314365
Luke Kennard,7.6,1.7,0.2,0.9,0.6,2.4,0.3,2.1,73,9,20,6.4,2.8,0.443,2.7,1.1,0.415,1,0.9,0.855,3.7,1.7,0.463,0.53,3275280
Cameron Payne,5.9,2.4,0.2,1,0.7,1.8,0.3,1.5,113,15,15.4,6.1,2.3,0.386,2.5,0.9,0.34,0.4,0.3,0.75,3.5,1.5,0.42,0.458,3263295
Troy Daniels,7.1,0.6,0.1,0.6,0.3,1.3,0.2,1.1,241,19,15.6,6,2.4,0.401,4.5,1.8,0.404,0.6,0.5,0.821,1.6,0.6,0.392,0.55,3258540
Kelly Oubre,7.6,0.7,0.3,0.8,0.7,3.4,0.7,2.7,223,25,20.2,6.5,2.7,0.412,2.9,0.9,0.322,1.7,1.3,0.78,3.6,1.7,0.482,0.483,3208630
Marquese Chriss,8.5,0.9,0.9,1.4,0.8,4.8,1.1,3.7,154,124,21.2,7.2,3.2,0.438,2.7,0.8,0.309,2.2,1.4,0.617,4.5,2.3,0.515,0.496,3206160
Tomas Satoransky,5.2,2.9,0.2,0.9,0.6,2.4,0.7,1.7,130,33,18.2,4.1,2,0.493,1.1,0.4,0.406,1,0.8,0.76,3,1.6,0.524,0.546,3129187
Bryn Forbes,5.6,0.9,0,0.4,0.3,1.1,0.1,1,116,12,15.5,5.1,2.1,0.411,2.4,0.9,0.377,0.7,0.5,0.679,2.7,1.2,0.441,0.5,3125000
Donovan Mitchell,20.5,3.7,0.3,2.7,1.5,3.7,0.7,3.1,79,71,33.4,17.2,7.5,0.437,7,2.4,0.34,3.8,3,0.805,10.3,5.2,0.502,0.506,3111480
Terry Rozier,7.2,2.1,0.2,0.8,0.7,3.5,0.7,2.8,193,16,18.9,6.8,2.6,0.377,3.2,1.1,0.355,1.2,0.9,0.773,3.7,1.5,0.395,0.459,3050390
Yogi Ferrell,10.2,2.9,0.1,1.2,0.8,2.8,0.4,2.5,128,50,27.2,8.8,3.7,0.419,4.2,1.6,0.378,1.5,1.2,0.813,4.6,2.1,0.457,0.509,3000000
Bam Adebayo,6.9,1.5,0.6,1,0.5,5.5,1.7,3.8,69,19,19.8,4.9,2.5,0.512,0.1,0,0,2.6,1.9,0.721,4.8,2.5,0.523,0.512,2955840
Jakob Poeltl,5.4,0.5,0.9,0.8,0.4,4.1,1.8,2.3,136,4,15.8,3.7,2.4,0.641,0,0,0.5,1.2,0.7,0.576,3.7,2.3,0.642,0.642,2947320
Andrew Nicholson,6,0.4,0.3,0.7,0.3,3,0.7,2.3,285,36,14.3,5.3,2.5,0.467,1,0.3,0.321,0.9,0.7,0.773,4.4,2.2,0.498,0.495,2844429
Justin Jackson,6.7,1.1,0.2,0.6,0.4,2.8,0.4,2.4,68,41,22.1,6.2,2.7,0.442,2.7,0.8,0.308,0.5,0.4,0.722,3.4,1.9,0.547,0.51,2807880
Thon Maker,4.4,0.5,0.6,0.5,0.4,2.6,0.9,1.7,131,46,13.7,3.8,1.6,0.429,1.4,0.5,0.331,1.1,0.7,0.683,2.4,1.2,0.483,0.488,2799720
Seth Curry,10.2,2.2,0.1,1.1,0.9,2.1,0.3,1.8,118,51,23.2,7.9,3.7,0.473,3.7,1.6,0.432,1.3,1.1,0.844,4.2,2.1,0.508,0.573,2795000
Cedi Osman,3.9,0.7,0,0.5,0.4,2,0.3,1.7,61,12,11,3,1.5,0.484,1.4,0.5,0.368,0.8,0.4,0.565,1.6,1,0.586,0.57,2775000
Sam Dekker,5.3,0.7,0.2,0.5,0.4,3,0.9,2.1,153,3,15.1,4.5,2.2,0.481,1.6,0.5,0.283,0.8,0.5,0.605,2.9,1.7,0.592,0.532,2760095
Elfrid Payton,11.2,6.4,0.3,2.4,1.3,4.2,1.1,3.1,300,253,29.5,10.1,4.6,0.457,1.2,0.4,0.298,2.6,1.6,0.619,8.8,4.2,0.479,0.475,2700000
Justin Patton,2,0,0,0,1,0,0,0,1,0,4,2,1,0.5,0,0,0,0,0,0,2,1,0.5,0.5,2667600
Guerschon Yabusele,2.4,0.5,0.2,0.4,0.1,1.6,0.5,1.1,33,4,7.1,1.8,0.8,0.426,1.1,0.4,0.324,0.7,0.5,0.682,0.7,0.4,0.583,0.525,2667600
Domantas Sabonis,8.6,1.5,0.4,1.4,0.5,5.5,1.4,4.2,155,85,22.2,7.4,3.4,0.466,1.3,0.4,0.327,1.9,1.4,0.729,6.1,3,0.495,0.494,2659800
Jerian Grant,6.6,3,0.1,1,0.8,2,0.3,1.7,213,60,18.7,5.6,2.3,0.411,2,0.6,0.313,1.8,1.4,0.784,3.6,1.7,0.464,0.466,2639314
Delon Wright,6.6,2.3,0.4,1,0.9,2.3,0.6,1.7,123,5,17.1,5.1,2.3,0.455,1.6,0.6,0.362,1.7,1.3,0.797,3.5,1.7,0.498,0.512,2536898
D.J. Wilson,1,0.1,0,0.2,0.1,0.5,0.1,0.4,22,0,3.2,0.7,0.4,0.563,0.2,0.1,0.4,0.1,0,0.5,0.5,0.3,0.636,0.625,2534280
Dario Saric,13.7,2.4,0.3,2.1,0.7,6.5,1.7,4.8,159,109,27.9,11.4,4.9,0.431,4.7,1.7,0.355,2.7,2.2,0.82,6.8,3.3,0.484,0.504,2526840
Taurean Waller-Prince,10.6,1.9,0.5,1.8,0.9,3.9,0.5,3.3,141,92,24.4,8.9,3.8,0.42,4,1.5,0.374,1.9,1.6,0.825,5,2.3,0.456,0.503,2526840
Justin Anderson,5.8,0.7,0.3,0.6,0.4,2.8,0.7,2.1,168,19,14.3,4.9,2,0.422,2.3,0.7,0.3,1.3,1,0.784,2.6,1.4,0.528,0.491,2516048
Manu Ginobili,13.3,3.8,0.3,2,1.3,3.5,0.6,2.8,1057,349,25.4,9.7,4.3,0.447,3.8,1.4,0.369,3.9,3.2,0.827,5.9,2.9,0.498,0.52,2500000
Dante Cunningham,6.1,0.7,0.5,0.5,0.7,3.8,1.2,2.7,651,174,21.4,5.6,2.6,0.469,0.9,0.3,0.332,0.9,0.6,0.645,4.7,2.3,0.494,0.495,2500000
Reggie Bullock,5.5,0.8,0.1,0.4,0.4,1.9,0.3,1.6,209,59,16.1,4.6,2.1,0.448,2.5,1,0.403,0.4,0.3,0.798,2.1,1,0.501,0.558,2500000
Bobby Portis,9.2,1.1,0.3,1,0.5,5.7,1.8,3.9,199,21,18.8,8.2,3.8,0.463,1.9,0.6,0.345,1.4,1,0.737,6.3,3.1,0.498,0.502,2494346
Rondae Hollis-Jefferson,10.2,2.1,0.6,1.5,1.1,6.1,1.3,4.7,175,126,24.5,8,3.7,0.456,0.8,0.2,0.237,3.5,2.7,0.767,7.3,3.5,0.479,0.467,2470357
Emeka Okafor,12,0.8,1.6,1.6,0.7,9.7,3.2,6.5,616,603,30.9,9.5,4.9,0.512,0,0,0,3.8,2.2,0.586,9.5,4.9,0.512,0.512,2445085
Tyus Jones,4.4,2.8,0.1,0.7,1,1.4,0.2,1.2,179,11,15.7,3.7,1.6,0.423,1.4,0.5,0.341,0.9,0.7,0.81,2.3,1.1,0.473,0.488,2444053
Jarell Martin,6.2,0.7,0.5,0.9,0.5,4,1.3,2.7,142,39,18.3,5.4,2.3,0.436,0.9,0.3,0.344,1.6,1.2,0.763,4.5,2,0.455,0.465,2416222
T.J. Leaf,2.9,0.2,0.1,0.2,0.1,1.5,0.5,1,53,0,8.7,2.6,1.2,0.471,0.8,0.3,0.429,0.3,0.2,0.625,1.8,0.9,0.489,0.537,2407560
Jeff Green,13.2,1.6,0.5,1.5,0.7,4.6,1,3.6,783,497,30.3,11,4.8,0.438,2.9,1,0.332,3.2,2.6,0.799,8.1,3.9,0.477,0.482,2393887
